acid,epoxide,tg
COCCOc1cc(NC(=O)N(CCOCC(=O)O)CCOCC(=O)O)ccc1OC,NC(=O)C1CCN(CC(=O)N(CC2CO2)CC2CO2)CC1,364.4072
Cc1cccc(CCCN(CCOCC(=O)O)CCOCC(=O)O)c1,CCOCCC(=O)Nc1cc(COCC2CO2)cc(COCC2CO2)c1,296.5736
CN(C)c1ccc(CNc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)cc1,O=C(Nc1ccccc1C(=O)N1CCOCC1)C(CC1CO1)CC1CO1,395.1898
COCCCN(CCOCC(=O)O)C(=O)Cc1ccccc1COCC(=O)O,CN(CCC1CO1)C(=O)C(=O)Nc1ccc(C(=O)NCC2CO2)cc1,382.7050
Cc1c(N=Cc2ccccc2OCc2ccc(C(=O)O)cc2)cccc1C(=O)O,CC(=O)Nc1cccc(NC(=O)c2ccc(C)c(OCC3CO3)c2OCC2CO2)c1C,426.2668
CCN(C(=O)COCCCC(=O)O)C1CN(C(=O)CCCC(=O)O)C1,Cc1cc(NC(=O)CCCC2CO2)ccc1NC(=O)CCCC1CO1,331.8200
CCCOCC(=O)Nc1cc(COCC(=O)O)cc(COCC(=O)O)c1,Cc1cccc(OCCCC(=O)NCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,350.7911
O=C(O)c1ccc(CCNCc2cc(C(=O)O)c3n2CCCC3)cc1,O=C(c1ccc(OCC2CO2)cc1)N1CCCN(CCCC2CO2)CC1,371.0906
O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)C(=O)NCCc2ccncc2)cc1,Cc1cc(NC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)ccc1N(C)C,360.4469
O=C(O)COCc1cc(COCC(=O)O)cc(NC(=O)c2ccccc2OC2CCCCC2)c1,COc1ccc(NC(=O)C(=O)NC(COCC2CO2)COCC2CO2)cc1,352.6456
