acid,epoxide
O=C(O)COCc1cc(COCC(=O)O)cc(NC(=O)c2coc3ccccc23)c1,CNC(=O)CNC(=O)c1ccc(OCC2CO2)cc1OCC1CO1
O=C(O)CCN(CCC(=O)O)Cc1nc2ccccc2o1,C(CCOCCOCC1CO1)COCCOCC1CO1
O=C(O)CCN(CCC(=O)O)C(=O)NCCc1ccco1,O=C(Cc1ccccc1OCC1CO1)N1CCCC1c1ccc(OCC2CO2)cc1
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1ccc(OCCN2CCCCC2)cc1,NC(=O)CCCCNC(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1
O=C(O)COCC(COCC(=O)O)NC(=O)C(=O)Nc1ccc(OCc2ccncc2)cc1,COC(=O)Nc1ccc(C(=O)OCC(=O)N(CC2CO2)CC2CO2)c(C)c1
O=C(CCc1ccc(C(=O)O)cc1)NC1CC(C(=O)O)C1,COc1cccc(CNCc2c(C)cccc2OCC2CO2)c1OCC1CO1
O=C(O)CC1CCN(C(=O)C(=O)N2CCC(CC(=O)O)CC2)CC1,COC(=O)N(C)c1ccc(NC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1
CCCCCCC(C(=O)O)(C(=O)O)C1CCCCCC1,CCCOc1cc(OCC2CO2)ccc1NC(=O)Cc1ccc(OCC2CO2)c(OC)c1
O=C(O)CCN(CCC(=O)O)C(=O)COC(=O)CNC(=O)c1ccccc1,O=C(NCc1ccc(OCC2CO2)cc1OCC1CO1)C1CCN(c2ccccc2)C1
CCOc1cc(C)ccc1NC(=O)N(CCCOCC(=O)O)CCOCC(=O)O,CN1CCC(N(Cc2ccccc2)C(=O)c2ccc(OCC3CO3)cc2OCC2CO2)CC1
