epoch,recon,valid,novel,unique,r2_train,r2_test,mae_train,mae_test,rmse_train,rmse_test
1,0.8420,0.8300,1.0000,1.0000,0.6112,0.5956,16.2064,16.2841,20.4988,20.8430
2,0.8450,0.8500,1.0000,1.0000,0.6400,0.6209,15.6370,16.0064,19.7247,20.1787
3,0.8500,0.8350,1.0000,1.0000,0.6784,0.6536,14.7980,15.4790,18.6454,19.2902
4,0.8530,0.8460,1.0000,1.0000,0.7011,0.6597,14.3280,15.2109,17.9750,19.1181
5,0.8500,0.8280,1.0000,1.0000,0.7095,0.6619,14.1028,15.0792,17.7200,19.0558
6,0.8560,0.8130,1.0000,1.0000,0.7171,0.6622,13.9227,15.1087,17.4851,19.0497
7,0.8620,0.8150,1.0000,1.0000,0.7250,0.6739,13.6496,14.8640,17.2413,18.7170
8,0.8700,0.8490,1.0000,1.0000,0.7398,0.6846,13.3613,14.5950,16.7706,18.4057
9,0.8690,0.8360,1.0000,1.0000,0.7468,0.6880,13.2132,14.4242,16.5440,18.3068
10,0.8640,0.8260,1.0000,0.9990,0.7513,0.6936,13.0521,14.3896,16.3957,18.1402
11,0.8640,0.8290,1.0000,1.0000,0.7544,0.6930,13.0152,14.2984,16.2929,18.1582
12,0.8550,0.8200,1.0000,1.0000,0.7627,0.6992,12.7984,14.2131,16.0162,17.9753
13,0.8400,0.8430,1.0000,1.0000,0.7675,0.6990,12.6755,14.0667,15.8537,17.9814
14,0.8470,0.8290,1.0000,1.0000,0.7702,0.7060,12.5676,13.9671,15.7616,17.7716
15,0.8510,0.8610,1.0000,1.0000,0.7712,0.7010,12.5849,14.0565,15.7268,17.9216
16,0.8520,0.8290,1.0000,1.0000,0.7776,0.7074,12.3893,13.9591,15.5041,17.7278
17,0.8500,0.8290,1.0000,1.0000,0.7804,0.7056,12.2916,13.9580,15.4078,17.7831
18,0.8430,0.8500,1.0000,0.9990,0.7832,0.7103,12.2222,13.8408,15.3066,17.6407
19,0.8530,0.8570,1.0000,1.0000,0.7866,0.7103,12.1061,13.7773,15.1875,17.6417
20,0.8490,0.8330,1.0000,1.0000,0.7869,0.7136,12.1045,13.7150,15.1768,17.5405
21,0.8470,0.8420,1.0000,1.0000,0.7894,0.7134,12.0228,13.7255,15.0892,17.5449
22,0.8460,0.8330,1.0000,1.0000,0.7920,0.7146,11.9684,13.7177,14.9925,17.5078
23,0.8480,0.8510,1.0000,1.0000,0.7937,0.7124,11.9139,13.7347,14.9328,17.5772
24,0.8420,0.8460,1.0000,1.0000,0.7961,0.7159,11.8517,13.6379,14.8464,17.4690
25,0.8440,0.8410,1.0000,1.0000,0.7967,0.7182,11.8136,13.5764,14.8228,17.3978
26,0.8430,0.8440,1.0000,1.0000,0.7973,0.7168,11.7985,13.6112,14.8005,17.4424
27,0.8410,0.8510,1.0000,0.9990,0.7991,0.7170,11.7468,13.5922,14.7358,17.4338
28,0.8440,0.8330,1.0000,1.0000,0.8002,0.7176,11.7161,13.5429,14.6966,17.4174
29,0.8440,0.8450,1.0000,1.0000,0.8012,0.7175,11.6897,13.5923,14.6605,17.4201
30,0.8470,0.8290,1.0000,1.0000,0.8015,0.7173,11.6962,13.5948,14.6491,17.4271
31,0.8470,0.8310,1.0000,0.9990,0.8024,0.7180,11.6608,13.5587,14.6133,17.4045
32,0.8490,0.8440,1.0000,1.0000,0.8028,0.7184,11.6370,13.5479,14.5978,17.3923
33,0.8520,0.8580,1.0000,1.0000,0.8033,0.7192,11.6360,13.5544,14.5798,17.3663
34,0.8510,0.8440,1.0000,1.0000,0.8039,0.7189,11.6162,13.5540,14.5586,17.3769
35,0.8520,0.8440,1.0000,0.9990,0.8047,0.7187,11.5906,13.5658,14.5301,17.3834
36,0.8550,0.8410,1.0000,0.9970,0.8050,0.7186,11.5777,13.5534,14.5176,17.3850
37,0.8560,0.8550,1.0000,1.0000,0.8052,0.7190,11.5686,13.5431,14.5094,17.3732
38,0.8560,0.8370,1.0000,1.0000,0.8056,0.7189,11.5620,13.5383,14.4939,17.3754
39,0.8570,0.8460,1.0000,1.0000,0.8061,0.7191,11.5485,13.5417,14.4775,17.3693
40,0.8590,0.8520,1.0000,1.0000,0.8062,0.7199,11.5491,13.5292,14.4737,17.3461
41,0.8550,0.8560,1.0000,1.0000,0.8066,0.7192,11.5343,13.5495,14.4591,17.3664
42,0.8560,0.8400,1.0000,1.0000,0.8068,0.7190,11.5265,13.5490,14.4525,17.3730
43,0.8550,0.8500,1.0000,1.0000,0.8070,0.7192,11.5188,13.5425,14.4429,17.3660
44,0.8570,0.8320,1.0000,1.0000,0.8071,0.7191,11.5182,13.5429,14.4393,17.3692
45,0.8540,0.8330,1.0000,1.0000,0.8073,0.7195,11.5125,13.5368,14.4326,17.3576
46,0.8550,0.8360,1.0000,1.0000,0.8074,0.7200,11.5093,13.5251,14.4289,17.3412
47,0.8540,0.8320,1.0000,1.0000,0.8076,0.7197,11.5049,13.5334,14.4225,17.3517
48,0.8550,0.8420,1.0000,1.0000,0.8077,0.7196,11.5021,13.5346,14.4169,17.3543
49,0.8540,0.8470,1.0000,1.0000,0.8077,0.7197,11.5010,13.5349,14.4155,17.3529
50,0.8540,0.8520,1.0000,1.0000,0.8079,0.7197,11.4952,13.5311,14.4094,17.3506
